combo,model,r,rho,rmse,r2,ci_lo,ci_hi
ES_CS+Ch,SVR_RBF,0.5924917537715971,0.5174343745110521,1.278000102100922,0.33147685966599494,0.47041800796965416,0.6891370380402071
ES_CS+WCh,SVR_RBF,0.6090399979558301,0.5230876569578238,1.2449955519089957,0.36556042265345845,0.48395995169700745,0.7060914092364683
Ch+WCh,SVR_RBF,0.5733401069088144,0.49222545441719,1.2852297396986854,0.3238918044612239,0.4465717179366979,0.6756692899689463
All4,SVR_RBF,0.5781880072043397,0.492336262857163,1.277715415599918,0.3317746660834143,0.4498987043975746,0.6813359588087331
ES_CS+WCh,GBR,0.5254641301916757,0.4523795602061509,1.3363699365611301,0.2690156793239358,0.3755445066534215,0.6479720915121923
ES_CS+WCh,XGB,0.5237695451581211,0.433521605329261,1.3373986648618437,0.26788983284444334,0.3782861218826619,0.6420189646987253
ES_CS+WCh,Ridge,0.5172473322495894,0.44459834531026765,1.3501002525550403,0.25391775564715213,0.35254197863665254,0.6467500771141327
meta_stack,Ridge,0.5687005031930991,0.5236622192391653,1.2888388913174706,0.3200892108292146,0.4471973063843603,0.6668651457216394
