feature_set,model,r,rho,rmse,r2,fold_r_sd
ES_CS,Ridge,0.4509581018105241,0.38562568315499673,1.4005124611196087,0.1971607025903711,0.18940932931832682
ES_CS,Lasso,0.49660858384174694,0.4025916865197547,1.390734411838263,0.20833203922263266,0.17561863827184723
ES_CS,ElasticNet,0.4972542453215684,0.39975991527599974,1.369794422686972,0.23199251142108712,0.18933997555922702
ES_CS,SVR_RBF,0.5892684358164703,0.5162462617935636,1.2720980030487166,0.3376373892841007,0.17656372046293262
ES_CS,SVR_Lin,0.4757618071341789,0.36671437606626794,1.439658649683988,0.15165260749855725,0.2405163275471704
ES_CS,RF,0.5323553883060583,0.4646321008557602,1.3500989952628966,0.2539191452371561,0.15128069654366183
ES_CS,GBR,0.5039493963339114,0.4136725305170568,1.3525103304135018,0.2512516999786839,0.19531591892792635
ES_CS,XGB,0.5317361074846214,0.47247692800422053,1.3241543485778675,0.2823182713223932,0.12429117281394082
Chromatic,Ridge,0.47451891495862064,0.3879547124025778,1.3764489761269885,0.2245123217425954,0.18158724998258435
Chromatic,Lasso,0.4165717567284858,0.36649275918632185,1.4277815955500348,0.165592447204579,0.15006788875327465
Chromatic,ElasticNet,0.4537994172121879,0.38583293597790924,1.3973699263287371,0.20075955649133426,0.1816637947078702
Chromatic,SVR_RBF,0.5925126894263872,0.5234939545710582,1.2730706517907182,0.3366241144350173,0.1707933663090866
Chromatic,SVR_Lin,0.4668942605455022,0.3485807800654979,1.4260094778056696,0.16766244277883613,0.1734258355531316
Chromatic,RF,0.5487176957188037,0.49951829137393283,1.3496940281936276,0.25436665740408937,0.13831304267741132
Chromatic,GBR,0.49901850755769933,0.42244691735640183,1.3564778241038435,0.24685245630365238,0.16233490473859394
Chromatic,XGB,0.5728019286914292,0.5204385144392095,1.2843441146418921,0.3248232675883719,0.09805851125953964
Weighted,Ridge,0.40604639026837236,0.4024952421368153,1.4419617989044908,0.14893608365315492,0.18546001883954497
Weighted,Lasso,0.3697261445541325,0.3989863082043363,1.5135055107128572,0.06238902836517679,0.10959659660461203
Weighted,ElasticNet,0.40970508302639785,0.39901503631840335,1.456078357652373,0.13219097744932273,0.15692240513269054
Weighted,SVR_RBF,0.5136580324880683,0.44340818058463155,1.3528674392361264,0.2508562576413115,0.21610416931941276
Weighted,SVR_Lin,0.43159417117888027,0.39601910442283655,1.5133365826072374,0.06259831733695109,0.22272131498676057
Weighted,RF,0.4176752569251953,0.3444849718027914,1.4214259257414974,0.17300452683077738,0.18024242833426188
Weighted,GBR,0.4244495069413149,0.3774135465481073,1.4582568198049506,0.1295923490213008,0.15083159998183968
Weighted,XGB,0.4471129289802941,0.3903329898457024,1.43043446611437,0.16248884691395005,0.1500024909152734
WCh,Ridge,0.475388650224554,0.3997250311374897,1.3754253604212567,0.22566529758119724,0.16756631663473737
WCh,Lasso,0.412455256842312,0.36323622225600366,1.4318693222829217,0.1608078041481662,0.12576681152759242
WCh,ElasticNet,0.440448787375294,0.3820736570514171,1.407934664436823,0.18862864523530876,0.14159846291429612
WCh,SVR_RBF,0.5646750554928671,0.47331825134475647,1.2950788232892976,0.3134896778739894,0.1891017071348666
WCh,SVR_Lin,0.440476811732246,0.35262939214080846,1.4716292501396586,0.1135556217095488,0.18990627658869833
WCh,RF,0.5564706195674647,0.49811676980908887,1.3339644176587082,0.2716449123841478,0.12425147016956242
WCh,GBR,0.5287226156370901,0.49751142740553256,1.3285286416490492,0.2775687712691438,0.11311844476412852
WCh,XGB,0.5338356401372214,0.49117893026188925,1.3241486406951923,0.2823244585682846,0.12797157335251766
