subtype,n,r,rho,rmse,r2
aptamer,20,0.9370375187958113,0.8642347358071599,0.6422888122277557,0.8770334714461421
duplex_groove,10,-0.8927718342743001,-0.9636363636363635,1.0534970529579497,-0.22750762750610254
g_quadruplex,8,-0.7693361678753952,-0.9047619047619048,0.6721193487816993,-0.2831547313537872
other_misc,27,-0.2769059404799043,-0.3483854522800436,1.527802926474932,-0.10471909864877382
ribosomal_asite,13,0.5796738255408499,0.4725274725274725,0.799333033472829,0.31444789685705765
riboswitch,61,0.4854874226716401,0.39279717629426536,1.4598117290645203,0.22827511833642922
